,,,,,,FE,,,Full Stack,,,BE,,,DevOps,,,QC,,
,Pure CSS Frameworks,Bootstrap,Hard Skills,,,3,3,2,3,3,3,,,,,,,,,
,,Materialize CSS,Hard Skills,,,,,3,,,3,,,,,,,,,
,,Bulma,Hard Skills,,,,,3,,,3,,,,,,,,,
,CSS-in-JS Frameworks,Styled components,Hard Skills,,,2,1,1,3,2,1,,,,,,,,,
,,CSS modules,Hard Skills,,,2,1,1,3,2,1,,,,,,,,,
,,Material UI,Hard Skills,,,,,3,,,,,,,,,,,,
,,Tailwind CSS,Hard Skills,,,,,3,,,,,,,,,,,,
JS,Basic,Basic JS Syntax,Hard Skills,,,1,1,1,1,1,1,,,,,,,,,
,,DOM Manipulation,Hard Skills,,,3,3,2,3,3,2,,,,,,,,,
,,Browser Object Models,Hard Skills,,,3,3,2,3,3,2,,,,,,,,,
,Async,,Hard Skills,,,1,1,1,1,1,1,,,,,,,,,
,Fetch/Ajax,,Hard Skills,,,1,1,1,1,1,1,,,,,,,,,
,ES6+,,Hard Skills,,,2,2,1,2,2,1,,,,,,,,,
,Web APIs,Geolocation,Hard Skills,,,,3,3,,3,3,,,,,,,,,
,,Drag/Drop,Hard Skills,,,,3,3,,3,3,,,,,,,,,
,,Web Storage,Hard Skills,,,2,2,1,3,2,2,,,,,,,,,
,,Service Workers,Hard Skills,,,,3,3,,3,3,,,,,,,,,
,,Server Sent Events,Hard Skills,,,,,3,,,3,,,,,,,,,
,Common Library,Lodash,Hard Skills,,,3,2,1,3,2,2,,,,,,,,,
,,Moment,Hard Skills,,,3,2,1,3,2,2,,,,,,,,,
,,Immer,Hard Skills,,,3,2,1,3,2,2,,,,,,,,,
Security,Content Security,,Hard Skills,,,,3,1,,3,1,,3,1,,3,1,,,
,Connection Security,,Hard Skills,,,,3,2,,3,2,,3,2,,3,2,,,
,Data Security,,Hard Skills,,,,3,2,,3,2,,3,2,,3,2,,,
,Information Leakage,,Hard Skills,,,,3,2,,3,2,,3,2,,3,2,,,
,Integrity,,Hard Skills,,,,3,2,,3,2,,3,2,,3,2,,,
,Clickjacking Protection,,Hard Skills,,,,3,2,,3,2,,3,2,,3,2,,,
,User information security,,Hard Skills,,,,3,2,,3,2,,3,2,,3,2,,,
,Security-related glossary terms,,Hard Skills,,,,3,2,,3,2,,3,1,,3,1,,,
Version Control,Git,,Hard Skills,,,1,1,1,1,1,1,1,1,1,1,1,1,,,
,Git Provider,Github,Hard Skills,,,2,2,1,2,2,1,2,2,1,2,2,1,,,
,,Gitlab,Hard Skills,,,,,3,,,3,,,3,,,3,,,
,,Bitbucket,Hard Skills,,,,,3,,,3,,,3,,,3,,,
Package Manager,NPM,,Hard Skills,,,1,1,1,1,1,1,,,,3,2,1,,,
,Yarn,,Hard Skills,,,1,1,1,1,1,1,,,,3,2,1,,,
Dev Tools,Prettier,,Hard Skills,,,,3,2,,3,2,,,,,,,,,
,Linters,,Hard Skills,,,,3,2,,3,2,,,,,,,,,
,Webpack,,Hard Skills,,,,,3,,,3,,,,,,,,,
Tests,Unit test,,Hard Skills,,,3,2,1,3,2,1,2,1,1,,,,,,
,Integration test,,Hard Skills,,,3,2,2,3,2,2,2,1,1,,,,,,
,Acceptance test,,Hard Skills,,,,3,2,,3,2,,3,2,,,,,,
,Libraries and frameworks,Jest,Hard Skills,,,,3,3,,3,3,,,,,,,,,
,,react-testing-library,Hard Skills,,,,3,3,,3,3,,,,,,,,,
,,Cypress,Hard Skills,,,,3,3,,3,3,,,,,,,,,
,,Enzyme,Hard Skills,,,,3,3,,3,3,,,,,,,,,
,,StoryBook,Hard Skills,,,,3,3,,3,3,,,,,,,,,
Typescript,Basic syntax,,Hard Skills,,,3,3,1,3,3,1,,,,,,,,,
,Type Manipulation,,Hard Skills,,,3,3,1,3,3,1,,,,,,,,,
React,Basic syntax,JSX,Hard Skills,,,1,1,1,1,1,1,,,,,,,,,
,,Reconciliation,Hard Skills,,,3,2,1,3,2,1,,,,,,,,,
,,Props and States,Hard Skills,,,1,1,1,1,1,1,,,,,,,,,
,,Built-in hooks,Hard Skills,,,1,1,1,1,1,1,,,,,,,,,
,,Custom hooks,Hard Skills,,,3,2,1,3,2,1,,,,,,,,,
,State management,State and Context,Hard Skills,,,1,1,1,1,1,1,,,,,,,,,
,,Redux,Hard Skills,,,1,1,1,1,1,1,,,,,,,,,
,,Redux toolkit,Hard Skills,,,2,2,1,2,2,1,,,,,,,,,
,Advance concepts,Code Spliting,Hard Skills,,,3,2,1,3,2,2,,,,,,,,,
,,Error Boundaries,Hard Skills,,,3,2,2,3,2,2,,,,,,,,,
,,Forwarding Refs,Hard Skills,,,3,2,2,3,2,2,,,,,,,,,
,,Optimize Performance,Hard Skills,,,3,2,1,3,2,2,,,,,,,,,
,,Profiler,Hard Skills,,,3,3,3,3,3,3,,,,,,,,,
,Libraries,React Router,Hard Skills,,,1,1,1,1,1,1,,,,,,,,,
,Frameworks,Create React App,Hard Skills,,,2,2,1,2,2,1,,,,,,,,,
,,NextJS,Hard Skills,,,,3,2,,3,2,,,,,,,,,
,,GatsbyJS,Hard Skills,,,,3,3,,3,3,,,,,,,,,
React Native,Core components,,Hard Skills,,,,3,2,,3,3,,,,,,,,,
,Environment Setup and Debugging,,Hard Skills,,,,3,2,,3,3,,,,,,,,,
,Interactions,,Hard Skills,,,,3,2,,3,3,,,,,,,,,
,Performance optimization,,Hard Skills,,,,3,2,,3,3,,,,,,,,,
,Native code,,Hard Skills,,,,3,2,,3,3,,,,,,,,,
Flutter,,,Hard Skills,,,,,3,,,3,,,,,,,,,
Browser Extensions,,,Hard Skills,,,,,3,,,3,,,,,,,,,
Desktop Application,ElectronJS,,Hard Skills,,,,,3,,,3,,,,,,,,,
Web Deployment,Rendering Methods,,Hard Skills,,,3,2,1,3,2,1,3,2,1,3,2,1,,,
,CSR Deployment,,Hard Skills,,,3,2,2,3,2,2,3,2,2,3,2,1,,,
,SSR Deployment,,Hard Skills,,,3,2,2,3,2,2,3,2,2,3,2,1,,,
Publishing,Android App,,Hard Skills,,,3,3,2,,,3,,,,,,2,,,
,iOS App,,Hard Skills,,,3,3,2,,,3,,,,,,2,,,
,Deeplinks,,Hard Skills,,,,3,3,,,3,,,,,,2,,,
Web Assembly,,,Hard Skills,,,,,3,,,3,,,,,,,,,
Web Components,,,Hard Skills,,,,,3,,,3,,,,,,,,,
Web RTC,,,Hard Skills,,,,,3,,,3,,,,,,,,,
Database,SQL,Basic syntax,Hard Skills,,,,,,1,1,1,1,1,1,1,1,1,,,
,,DB normalization,Hard Skills,,,,,,2,1,1,2,1,1,3,3,2,,,
,,Joins and union,Hard Skills,,,,,,2,1,1,2,1,1,3,3,2,,,
,,Group and calculations,Hard Skills,,,,,,3,2,1,3,2,1,3,3,2,,,
,,Transactions and concurrency,Hard Skills,,,,,,3,2,2,3,2,1,3,3,2,,,
,No SQL,Main concepts,Hard Skills,,,,,,,3,3,,3,2,,3,2,,,
,,Basic syntax,Hard Skills,,,,,,,3,3,,3,2,,3,2,,,
,Optimization,"Indexing, hashing",Hard Skills,,,,,,,2,2,3,2,1,,3,2,,,
,,DB Sharding,Hard Skills,,,,,,,3,3,3,3,2,,3,2,,,
,,SQL query best practices,Hard Skills,,,,,,,3,2,3,2,1,,3,2,,,
,,SQL schema best practices,Hard Skills,,,,,,,3,2,3,2,1,,3,2,,,
,Infrastructure,Administration,Hard Skills,,,,,,,,3,,3,2,3,2,1,,,
,,Backup / Recovery / Upgrade,Hard Skills,,,,,,,,3,,3,2,3,2,1,,,
,,Connection pooling,Hard Skills,,,,,,,,3,,3,2,3,2,1,,,
,,Monitoring and troubleshootings,Hard Skills,,,,,,,,3,,3,2,3,2,1,,,
,,HA and clustering,Hard Skills,,,,,,,,3,,3,2,3,2,1,,,
,Relational DB,PostgreSQL,Hard Skills,,,,,,1,1,1,1,1,1,1,1,1,,,
,,MySQL,Hard Skills,,,,,,,,3,,,3,,,3,,,
,,MS Server,Hard Skills,,,,,,,,3,,,3,,,3,,,
,,Oracle,Hard Skills,,,,,,,,3,,,3,,,3,,,
,NoSQL DB,Mongo DB,Hard Skills,,,,,,3,3,3,,,3,,,3,,,
,Migrations,,Hard Skills,,,,,,3,2,1,3,2,1,3,2,1,,,
Microservices and Infrastructure,Container,"Docker, Docker Compose",Hard Skills,,,,,3,3,2,1,3,2,1,2,1,1,,,
,,Kubernetes,Hard Skills,,,,,,,,3,,3,2,3,2,1,,,
,,Docker Swarm,Hard Skills,,,,,,,,3,,3,3,3,2,1,,,
,CI/CD,Github Action,Hard Skills,,,,3,2,,3,2,,3,2,2,2,1,,,
,,Travis CI,Hard Skills,,,,3,3,,3,3,,3,2,3,2,2,,,
,,Circle CI,Hard Skills,,,,3,3,,3,3,,3,2,3,2,2,,,
,Distributed tracing,,Hard Skills,,,,,,,,3,,3,2,3,2,1,,,
,Monitoring and alert,,Hard Skills,,,,,,,,3,,3,2,2,2,1,,,
,Service Discovery,,Hard Skills,,,,,,,,3,,3,3,3,2,1,,,
,Load Balancing,,Hard Skills,,,,,,,,3,,3,3,3,2,1,,,
,API Gateway,,Hard Skills,,,,,,,,2,,3,2,3,2,1,,,
,Reverse Proxy / Forward Proxy,,Hard Skills,,,,,,,,3,,3,3,2,2,1,,,
,Cache Server,,Hard Skills,,,,,,,,2,,2,1,3,2,1,,,
,Configuration management,,Hard Skills,,,,,3,,,3,,3,2,2,2,1,,,
,Infrastructure provisioning,,Hard Skills,,,,,,,,3,,3,3,3,2,2,,,
,Infrastructure monitoring,,Hard Skills,,,,,,,,3,,3,3,3,2,2,,,
,Cloud Services,Firebase,Hard Skills,,,3,2,2,3,2,2,3,2,1,2,2,1,,,
,,GCP,Hard Skills,,,3,2,2,3,2,2,3,2,1,2,2,1,,,
,,AWS,Hard Skills,,,3,2,2,3,2,2,3,2,1,2,2,1,,,
,,Azure,Hard Skills,,,,,3,,3,3,,3,3,3,3,3,,,
,,Heroku,Hard Skills,,,,3,3,,3,3,,3,3,3,3,3,,,
,,Digital Ocean,Hard Skills,,,,,3,,,3,,,3,3,3,3,,,
,,Sendgrid,Hard Skills,,,3,3,3,3,3,3,3,3,3,,,3,,,
,,Stripe,Hard Skills,,,3,3,3,3,3,3,3,3,3,,,3,,,
,,Twilio,Hard Skills,,,3,3,3,3,3,3,3,3,3,,,3,,,
,Web Server,Nginx,Hard Skills,,,,,,,3,3,,3,3,2,1,1,,,
,,MS IIS,Hard Skills,,,,,,,3,3,,,3,3,3,3,,,
Message Queue,Kafka,,Hard Skills,,,,,,,3,2,,2,1,3,2,1,,,
,RabbitMQ,,Hard Skills,,,,,,,3,2,,3,2,3,2,1,,,
Cryptography,Encryptions,,Hard Skills,,,,,,,3,3,,3,2,,,,,,
,Hashing,,Hard Skills,,,,,,,3,3,,3,2,,,,,,
Search engine,Elastic search,,Hard Skills,,,,,,,3,3,,3,2,,,,,,
[Big Data and ML],,,Hard Skills,,,,,,,,,,,,,,,,,
[Soft skills],,,Soft Skills,,,,,,,,,,,,,,,,,
Communication,Communication,,Soft Skills,"1. Actively listen and respond to others
2. Ability to communicate and discuss in English",,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1
,Feedback,,Soft Skills,Open to providing and receiving feedback,,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1
,Presentation,,Soft Skills,Present to the team on topics,,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1
,Documentation,,Soft Skills,Clearly write out documentation and written responses,,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1
,Facilication,,Soft Skills,Facilitate open discussions,,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2
Team Work,Working Together,,Soft Skills,"1. Pair with team members on completing tasks
2. Collaborate with the team and share ideas",,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1
,Resolve conflicts,,Soft Skills,Resolve any conflicts in a collaborative manner,,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1
,Mentoring,,Soft Skills,Mentoring other team members,,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2
Decision Making & Problem Solving,Exploration,,Soft Skills,"1. Consider all perspectives before making a decision
2. Study similar problems to find solutions
3. Reach out to larger team to find solutions
4. Ask the right questions to deep-dive",,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1
,Analysis,,Soft Skills,Analyze potential solutions before implementation,,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1
,Problem Solving,,Soft Skills,"1. Clearly articulate why a decision is being made
2. Support their decision with context",,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1
Empowerment,Encouragement,,Soft Skills,Encourage other team members to progress,,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2
,Inspiration,,Soft Skills,Inspire other team members to grow,,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1
,Share,,Soft Skills,Share new ideas with others to empower learning,,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2
Empathy,Understanding,,Soft Skills,Ability to understand the perspective of others,,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2
,Respect,,Soft Skills,Respect for team members and clients as equal,,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2
,Acceptance,,Soft Skills,Patience and acceptance when working with different levels,,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2
,Self-awareness,,Soft Skills,Self-aware and mindful of interactions with others,,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2
Growth,Develop Skills,,Soft Skills,"1. Find new skills to improve on and develop
2. Learn from mistakes and use it for future development",,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2
,Vulnerability,,Soft Skills,Be open to vulnerability and uncertainty,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Leadership,Delegation,,Soft Skills,Delegate work to suitable team members,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,Planning and Organisation,,Soft Skills,"1. Organize team processes and systems
2. Plan and analyze to set project goals
3. Set clear goals for teammates and review progress",,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2
,Praise & Recognition,,Soft Skills,Praise achievements and recognize the effort,,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2
